"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"697","Sean Durzi","L.A","D","72","1105.0666666667","8","12","5","7","20","43.48","85","9.41","4.05","195","119","79","17","27","7","40","17","15","2","0","9","45","20","59","111","99","0","0","-"
"702","Pius Suter","DET","C","79","937.36666666667","12","8","5","3","20","64.52","92","13.04","10.34","154","125","101","54","6","17","4","2","2","0","0","7","12","20","34","26","30","197","214","47.93"
"707","Eric Robinson","CBJ","L","72","825.6","10","10","4","6","20","90.91","89","11.24","10.01","171","120","98","53","3","23","6","3","3","0","0","7","13","18","121","62","25","2","7","22.22"
"715","Ryan McLeod","EDM","C","57","645.16666666667","9","11","8","3","20","74.07","61","14.75","7.82","119","91","83","36","5","8","16","8","8","0","0","6","37","18","38","65","16","237","246","49.07"
"767","Alexander Romanov","NYI","D","76","1288.8","2","18","9","9","20","37.74","94","2.13","3.66","226","128","51","8","1","17","41","19","18","1","0","14","48","20","182","163","103","0","0","-"
"859","Lucas Raymond","DET","L","74","971.48333333333","10","10","5","5","20","60.61","92","10.87","9.65","167","122","108","55","6","10","18","8","8","0","0","22","23","30","39","78","18","3","8","27.27"
"32","Kyle Okposo","BUF","R","75","926.26666666667","6","13","7","6","19","67.86","132","4.55","10.9","208","165","113","50","8","26","30","15","15","0","0","17","19","21","73","79","21","130","141","47.97"
"36","Jeff Petry","PIT","D","61","1031.7333333333","3","16","5","11","19","37.25","87","3.45","4.19","198","129","39","6","5","15","14","7","7","0","0","2","28","16","154","104","85","0","0","-"
"69","Drew Doughty","L.A","D","81","1566.5","4","15","3","12","19","32.20","88","4.55","4.36","186","124","65","15","27","13","20","10","10","0","0","17","46","21","95","151","78","0","0","-"
"119","Brian Dumoulin","PIT","D","82","1401.9833333333","1","18","12","6","19","36.54","69","1.45","3.49","173","105","58","9","2","19","14","7","7","0","0","9","40","29","104","170","104","0","0","-"
